"length","averageSlope","propZero","switches","maxslope","slope.move","jerkyness","prop.time.plateau","switches.between.sections","steepness.sig.mean","steepness.sig.mean.max","expressiveness.sig.mean.max","length.hz","averageSlope.hz","propZero.hz","switches.hz","maxslope.hz","slope.move.hz","jerkyness.hz","prop.time.plateau.hz","switches.between.sections.hz","steepness.sig.mean.hz","steepness.sig.mean.max.hz","expressiveness.sig.mean.max.hz","logfile","chain","curvature","run","gen","meaning","physSignal","hzSignal","numLearningRounds","abortedReproductionAttempts","physSigDistinctiveness","hzSigDistinctiveness","dataFilePhysSignal","dataFileHzSignal","chain2","rawDataSource"
38,26.3243243243243,0.131578947368421,0,55,30.375,16.3266211617272,0.605263157894737,2,0.372444497694116,0.301187271983573,0.136701880353437,38,146.027027027027,0.105263157894737,0,495,163.727272727273,141.100139083026,NA,41,-1,-1,-1,"log1.csv","chain 1",0,"",1,1,"7_7_7_7_7_20_66_107_127_138_150_166_179_212_242_272_305_342_381_433_488_529_570_607_625_650_675_712_751_800_850_887_914_942_951_953_959_981","212_212_212_212_212_233_310_384_422_443_465_499_525_596_664_735_818_919_1030_1197_1396_1558_1735_1915_2013_2143_2298_2534_2817_3219_3714_4149_4524_4938_5088_5119_5213_5615",6,9,170,166,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_02032016124716.txt","chain 1 log1.csv 0","../backup/June14_corrected/"
65,30.40625,0.461538461538462,1,84,32.9152542372881,17.8652084959335,0.676923076923077,4,0.372444497694116,0.264142267393755,0.12455872369644,65,168.796875,0.446153846153846,1,755,180.05,159.854217284782,NA,69,-1,-1,-1,"log1.csv","chain 1",0,"",1,2,"9_9_9_9_25_50_72_96_109_127_142_161_181_216_257_285_318_350_370_392_422_475_524_568_614_644_670_711_755_787_818_850_870_896_922_948_968_977_981_981_961_912_874_840_814_781_718_635_551_470_416_377_340_303_274_240_212_198_172_133_92_57_33_14_7","215_215_215_215_242_282_320_363_387_422_450_488_529_604_698_766_854_939_998_1066_1161_1348_1533_1729_1955_2113_2261_2522_2845_3105_3396_3714_3942_4267_4630_5028_5387_5545_5615_5615_5245_4490_3985_3617_3360_3053_2576_2059_1653_1325_1141_1019_914_814_738_660_596_565_510_432_356_295_254_224_212",6,9,170,166,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_02032016124716.txt","chain 1 log1.csv 0","../backup/June14_corrected/"
41,19.3,0.48780487804878,0,83,38.15,24.3228287828534,0.780487804878049,2,0.372444497694116,0.190326442074043,0.102011785311727,41,70.775,0.414634146341463,0,308,123.086956521739,89.7379339792921,NA,61,-1,-1,-1,"log1.csv","chain 1",0,"",1,3,"7_7_11_51_92_137_174_220_272_311_361_437_520_583_627_657_694_727_740_750_755_768_774_777_779_779_779_779_779_779_779_779_779_779_779_779_779_779_779_779_779","212_212_218_285_356_439_514_613_735_833_971_1210_1518_1798_2019_2185_2413_2636_2734_2803_2845_2952_2992_3022_3043_3043_3043_3043_3043_3043_3043_3043_3043_3043_3043_3043_3043_3043_3043_3043_3043",6,9,170,166,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016124716.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_02032016124716.txt","chain 1 log1.csv 0","../backup/June14_corrected/"
37,29.5277777777778,0.540540540540541,2,237,40.2692307692308,53.7812957986118,0.891891891891892,2,0.372444497694116,0.0869185773158388,0.0537657549701538,37,191.027777777778,0.513513513513513,2,1347,221.741935483871,272.561446399692,NA,65,-1,-1,-1,"log1.csv","chain 1",0,"",2,1,"8_10_17_76_261_396_633_647_673_721_736_766_797_812_925_962_971_980_984_984_984_980_973_967_965_960_954_947_945_938_930_921_912_899_897_897_897","214_217_228_327_709_1079_2052_2126_2279_2593_2698_2932_3191_3337_4684_5277_5431_5604_5687_5687_5687_5604_5476_5364_5321_5234_5129_5018_4988_4880_4739_4612_4490_4307_4283_4283_4283",12,2,304,306,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016144512.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_02032016144512.txt","chain 1 log1.csv 0","../backup/June14_corrected/"
91,20.2777777777778,0.67032967032967,6,107,25.2112676056338,22.6814916269185,0.703296703296703,4,0.372444497694116,0.24924714582413,0.116566461865317,91,103.066666666667,0.659340659340659,6,437,118.782051282051,98.3042513968579,NA,99,-1,-1,-1,"log1.csv","chain 1",0,"",2,2,"6_6_19_93_141_222_274_302_346_411_459_514_575_633_679_701_742_773_790_803_814_825_836_847_858_867_895_904_910_923_934_938_938_938_938_928_921_912_901_882_862_851_840_827_821_810_775_760_751_740_714_701_675_651_636_581_477_370_311_300_296_296_285_265_237_226_217_209_202_193_189_174_163_139_124_93_89_87_87_82_78_71_65_61_54_50_47_45_45_45_45","210_210_232_358_449_618_740_812_929_1125_1288_1493_1758_2052_2321_2461_2752_2992_3137_3258_3360_3461_3572_3688_3809_3906_4259_4372_4456_4648_4813_4880_4880_4880_4880_4711_4612_4490_4339_4089_3857_3734_3617_3480_3419_3314_3007_2883_2817_2734_2547_2461_2291_2154_2065_1789_1352_998_834_806_795_795_767_719_651_626_607_588_575_555_546_514_492_444_415_358_350_347_347_338_331_320_308_300_289_282_278_274_274_274_274",12,2,304,306,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016144512.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_02032016144512.txt","chain 1 log1.csv 0","../backup/June14_corrected/"
67,10.8333333333333,0.73134328358209,0,94,41.8823529411765,22.7363371201481,0.835820895522388,2,0.372444497694116,0.208704711852345,0.139863840859163,67,37.0151515151515,0.716417910447761,0,272,135.722222222222,70.7788522141036,NA,123,-1,-1,-1,"log1.csv","chain 1",0,"",2,3,"17_34_102_178_235_311_405_481_518_542_579_603_627_653_666_690_723_729_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732_732","228_257_374_523_647_834_1106_1366_1513_1610_1780_1893_2019_2164_2239_2389_2606_2654_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671_2671",12,2,304,306,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016144512.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_02032016144512.txt","chain 1 log1.csv 0","../backup/June14_corrected/"
62,15.983606557377,0.370967741935484,0,70,25.3684210526316,16.3793485862317,0.82258064516129,2,0.372444497694116,0.139777372085097,0.0721735702717577,62,90.0491803278689,0.306451612903226,0,319,130.785714285714,87.5453075516726,NA,99,-1,-1,-1,"log1.csv","chain 1",0,"",3,1,"11_11_29_65_95_128_153_178_214_244_287_312_343_375_398_425_463_529_599_640_674_690_708_733_748_769_785_805_819_841_859_877_900_918_934_945_957_963_963_970_970_970_970_972_972_975_975_975_975_975_979_984_986_986_986_986_986_986_986_986_986_986","218_218_248_308_360_424_473_523_602_668_772_836_922_1014_1083_1169_1303_1556_1875_2089_2283_2382_2501_2676_2793_2952_3084_3269_3396_3630_3822_4029_4323_4577_4813_4988_5171_5299_5299_5420_5420_5420_5420_5454_5454_5499_5499_5499_5499_5499_5592_5675_5711_5711_5711_5711_5711_5711_5711_5711_5711_5711",6,7,270,266,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016181330.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_02032016181330.txt","chain 1 log1.csv 0","../backup/June14_corrected/"
75,26.1351351351351,0.68,2,77,32.1666666666667,18.4638293749419,0.653333333333333,4,0.372444497694116,0.265684600165872,0.129491237268481,75,149.337837837838,0.68,2,942,181.16393442623,202.118660185696,NA,79,-1,-1,-1,"log1.csv","chain 1",0,"",3,2,"11_11_11_31_65_106_135_171_214_251_289_343_373_404_436_468_511_554_597_651_723_798_875_920_977_988_988_988_988_954_900_873_841_821_778_751_717_690_665_624_601_576_554_527_511_488_466_447_409_373_343_305_278_255_235_208_185_160_128_115_99_81_67_52_42_38_31_31_31_31_31_31_31_31_31","218_218_218_251_308_382_437_509_602_684_778_922_1007_1104_1208_1319_1484_1663_1863_2154_2610_3208_4007_4603_5545_5760_5760_5760_5760_5140_4323_3978_3630_3419_3033_2812_2563_2382_2232_2003_1887_1766_1663_1548_1484_1393_1312_1247_1117_1007_922_818_750_694_647_586_538_486_424_399_369_336_313_285_270_262_251_251_251_251_251_251_251_251_251",6,7,270,266,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016181330.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_02032016181330.txt","chain 1 log1.csv 0","../backup/June14_corrected/"
59,12.3620689655172,0.406779661016949,0,72,20.8529411764706,14.4242708178521,0.627118644067797,2,0.372444497694116,0.335887617829929,0.185764623135384,59,41.1379310344828,0.355932203389831,0,131,64.3783783783784,37.1943441634551,NA,91,-1,-1,-1,"log1.csv","chain 1",0,"",3,3,"4_4_6_56_128_165_194_230_264_285_314_332_357_371_389_404_429_445_470_490_513_533_554_574_585_597_613_626_631_647_660_660_660_669_683_696_703_705_705_712_717_719_719_719_721_721_721_721_721_721_721_721_721_721_721_721_721_721_721","207_207_211_293_424_495_557_637_716_766_841_890_960_1001_1054_1104_1185_1239_1328_1403_1493_1574_1663_1758_1809_1863_1943_2016_2039_2126_2203_2203_2203_2261_2343_2429_2473_2485_2485_2534_2563_2580_2580_2580_2593_2593_2593_2593_2593_2593_2593_2593_2593_2593_2593_2593_2593_2593_2593",6,7,270,266,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016181330.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_02032016181330.txt","chain 1 log1.csv 0","../backup/June14_corrected/"
97,9.94791666666667,0.515463917525773,0,95,19.9130434782609,17.01106128789,0.835051546391753,2,0.372444497694116,0.142614098873325,0.0658754137235064,97,54.3125,0.371134020618557,0,646,86.9,98.462101979979,NA,125,-1,-1,-1,"log1.csv","chain 1",0,"",4,1,"17_17_17_17_17_17_25_38_42_49_57_66_75_83_100_120_135_152_167_182_197_208_221_229_244_259_278_300_328_354_366_366_366_366_366_381_476_568_639_684_710_725_738_746_759_774_789_809_815_815_815_815_824_881_907_916_918_920_924_929_935_939_944_948_950_952_954_959_961_963_967_967_967_967_969_969_969_972_972_972_972_972_972_972_972_972_972_972_972_972_972_972_972_972_972_972_972","228_228_228_228_228_228_242_263_270_281_295_310_325_341_371_407_436_469_500_532_563_586_615_635_668_704_750_806_880_952_989_989_989_989_989_1034_1348_1729_2085_2351_2518_2619_2716_2780_2879_3002_3127_3303_3360_3360_3360_3360_3443_4089_4422_4542_4577_4603_4666_4729_4832_4890_4968_5028_5068_5109_5140_5213_5256_5288_5364_5364_5364_5364_5409_5409_5409_5442_5442_5442_5442_5442_5442_5442_5442_5442_5442_5442_5442_5442_5442_5442_5442_5442_5442_5442_5442",6,0,386,372,"../backup/June14_corrected/fluteilm_NIJMEGEN/results/output_02032016195253.txt","../backup/June14_corrected/fluteilm_NIJMEGEN/outputLanguages/output_02032016195253.txt","chain 1 log1.csv 0","../backup/June14_corrected/"
