
The 'labiodental' sounds occur in these languages:

Language (sounds)	Sound	% of sounds in language
ADZERA (25) 	f 	4.00%	
AGHEM (35) 	bv, f 	5.71%	
AIZI (33) 	f, v 	6.06%	
AKAN (35) 	f 	2.86%	
ALBANIAN (35) 	f, v 	5.71%	
ALLADIAN (36) 	f, v 	5.56%	
AMELE (20) 	f 	5.00%	
AMHARIC (37) 	f 	2.70%	
AMO (35) 	f, v 	5.71%	
ANGAS (43) 	f, v 	4.65%	
APINAYE (30) 	v 	3.33%	
ARABIC (35) 	f 	2.86%	
ARMENIAN (36) 	f, v 	5.56%	
ASHUSLAY (28) 	f 	3.57%	
ASMAT (17) 	f 	5.88%	
AVAR (49) 	f 	2.04%	
AWIYA (35) 	f 	2.86%	
AZANDE (35) 	f, v 	5.71%	
AZERBAIJANI (33) 	f, v 	6.06%	
BAI (29) 	f, v 	6.90%	
BAMBARA (35) 	f 	2.86%	
BARIBA (30) 	f 	3.33%	
BASHKIR (38) 	f, v 	5.26%	
BASQUE (28) 	f 	3.57%	
BEEMBE (26) 	f, pf, pfh, v 	15.38%	
BEJA (26) 	f 	3.85%	
BETE (37) 	f, v 	5.41%	
BIROM (29) 	f, v 	6.90%	
BISA (24) 	f, v 	8.33%	
BOBO-FING (33) 	f, v 	6.06%	
BRAHUI (33) 	f, v 	6.06%	
BRAO (31) 	v 	3.23%	
BRETON (45) 	f, v 	4.44%	
BULGARIAN (42) 	f, fJ, v, vJ 	9.52%	
BURUSHASKI (43) 	f 	2.33%	
CAMSA (28) 	f 	3.57%	
CHAMORRO (26) 	f 	3.85%	
CHANGZHOU (34) 	f, v 	5.88%	
CHUAVE (17) 	f 	5.88%	
CHUVASH (30) 	f 	3.33%	
COFAN (35) 	f 	2.86%	
DAGBANI (29) 	f, v 	6.90%	
DAGUR (29) 	f 	3.45%	
DAHALO (59) 	f, v 	3.39%	
DAN (39) 	f, v 	5.13%	
DIOLA (29) 	f 	3.45%	
DIZI (30) 	f 	3.33%	
